PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FGP,THPM,THPA,THPP,FTM,FTA,FTP,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD,TD,PLMIN,LOOKUP
BRIDGET CARLETON,MIN,27,39,29,10,29.9,9.6,3.2,7.3,44.4,2.3,5.3,44.4,0.8,1.0,78.9,0.9,2.8,3.8,2.2,1.0,1.0,0.3,2.1,20.5,0,0,6.1,1629524
STEFANIE DOLSON,WAS,32,39,14,25,26.0,9.5,3.4,7.2,47.5,1.8,4.0,46.5,0.8,1.1,78.6,0.8,4.1,4.9,2.6,1.7,0.5,0.5,2.9,20.9,1,0,-2.0,203828
TIFFANY HAYES,LVA,35,33,22,11,21.4,9.5,3.3,6.7,50.0,1.0,2.5,40.2,1.8,2.5,71.4,0.8,2.0,2.8,2.1,0.8,0.8,0.3,2.1,17.4,1,0,2.8,203026
MADDY SIEGRIST,DAL,24,27,6,21,23.8,9.4,3.9,7.8,50.5,0.4,1.4,27.0,1.2,1.6,76.7,1.6,1.7,3.3,1.0,0.6,0.4,0.4,1.2,15.6,0,0,-4.6,1641652
CHEYENNE PARKER-TYUS,ATL,32,25,9,16,19.7,9.2,3.3,7.5,44.4,0.1,0.6,21.4,2.5,2.8,89.9,1.2,3.6,4.8,1.5,2.1,0.8,0.4,2.4,18.1,0,0,-4.2,204323
AARI MCDONALD,LAS,26,26,6,20,21.8,8.7,3.0,7.3,40.3,1.1,3.5,31.9,1.7,2.0,84.3,0.5,1.5,2.0,3.7,1.8,0.9,0.2,2.0,17.7,1,0,-3.0,1630462
CHELSEA GRAY,LVA,32,27,20,7,26.0,8.6,3.1,7.6,40.8,1.0,2.9,33.8,1.4,1.8,81.3,0.2,2.7,2.9,4.9,2.4,1.3,0.7,1.4,21.3,1,0,5.7,203833
AERIAL POWERS,ATL,30,17,7,10,17.9,8.6,2.9,8.1,35.5,0.8,2.1,38.9,2.0,2.5,79.1,0.9,2.4,3.3,1.4,1.1,0.9,0.2,2.1,16.5,0,0,-4.2,1627672
KARLIE SAMUELSON,WAS,29,29,10,19,24.5,8.4,2.7,6.7,40.9,1.7,4.2,39.8,1.2,1.3,92.3,0.5,2.0,2.6,2.1,0.9,0.9,0.0,1.7,16.7,0,0,-0.1,1628317
SOPHIE CUNNINGHAM,PHO,28,40,19,21,27.7,8.4,2.6,6.0,42.9,1.7,4.5,37.8,1.5,1.7,87.0,0.4,3.5,3.9,2.0,1.0,1.0,0.3,2.3,18.5,1,0,-1.0,1629482
